Target Distance: 10, Step Size: 1
0: (x,y) = (0, 0)
1: (x,y) = (0.987688, 0.156434)
2: (x,y) = (0.199678, 0.772096)
3: (x,y) = (-0.543467, 0.102965)
4: (x,y) = (-1.25057, -0.604141)
5: (x,y) = (-0.310881, -0.946162)
6: (x,y) = (0.0637252, -0.0189777)
7: (x,y) = (1.01478, 0.290039)
8: (x,y) = (1.15395, -0.700229)
9: (x,y) = (1.76962, -1.48824)
10: (x,y) = (1.52769, -2.45854)
11: (x,y) = (2.19682, -3.20168)
12: (x,y) = (2.7704, -4.02083)
13: (x,y) = (3.39972, -3.24369)
14: (x,y) = (3.62467, -2.26932)
15: (x,y) = (2.63213, -2.39119)
16: (x,y) = (2.20951, -1.48488)
17: (x,y) = (1.21696, -1.36301)
18: (x,y) = (2.21148, -1.25848)
19: (x,y) = (2.14173, -2.25604)
20: (x,y) = (1.39858, -2.92517)
21: (x,y) = (2.09324, -2.20583)
22: (x,y) = (2.54723, -3.09684)
23: (x,y) = (2.4949, -2.09821)
24: (x,y) = (2.13653, -1.16463)
25: (x,y) = (1.4674, -1.90778)
26: (x,y) = (1.90577, -1.00898)
27: (x,y) = (1.13972, -1.65177)
28: (x,y) = (1.22688, -0.655575)
29: (x,y) = (2.04603, -1.22915)
30: (x,y) = (1.04664, -1.19425)
31: (x,y) = (0.0540948, -1.07238)
32: (x,y) = (-0.945296, -1.03748)
33: (x,y) = (-1.11894, -0.0526753)
34: (x,y) = (-1.11894, 0.947325)
35: (x,y) = (-2.08021, 1.22296)
36: (x,y) = (-1.08994, 1.36214)
37: (x,y) = (-1.05504, 0.362744)
38: (x,y) = (-1.33068, -0.598517)
39: (x,y) = (-2.32687, -0.511362)
40: (x,y) = (-1.84206, 0.363258)
41: (x,y) = (-1.11071, -0.31874)
42: (x,y) = (-1.88785, -0.948061)
43: (x,y) = (-1.40304, -1.82268)
44: (x,y) = (-2.37334, -2.0646)
45: (x,y) = (-3.36953, -1.97745)
46: (x,y) = (-4.06419, -1.25811)
47: (x,y) = (-3.0765, -1.10167)
48: (x,y) = (-2.63813, -0.202878)
49: (x,y) = (-3.19733, -1.03192)
50: (x,y) = (-3.6668, -0.148968)
51: (x,y) = (-4.65449, -0.305403)
52: (x,y) = (-5.09286, 0.593391)
53: (x,y) = (-6.09225, 0.628291)
54: (x,y) = (-6.05735, 1.62768)
55: (x,y) = (-7.03898, 1.81849)
56: (x,y) = (-6.95182, 2.81469)
57: (x,y) = (-7.73983, 2.19902)
58: (x,y) = (-6.94119, 1.59721)
59: (x,y) = (-7.62319, 2.32856)
60: (x,y) = (-7.39824, 1.35419)
61: (x,y) = (-6.42387, 1.12924)
62: (x,y) = (-5.59483, 0.570049)
63: (x,y) = (-4.64378, 0.879066)
64: (x,y) = (-5.43179, 0.263404)
65: (x,y) = (-6.43042, 0.31574)
66: (x,y) = (-7.364, 0.674108)
67: (x,y) = (-7.34655, -0.32574)
68: (x,y) = (-8.23755, -0.77973)
69: (x,y) = (-9.23618, -0.832066)
70: (x,y) = (-9.02827, 0.146081)
71: (x,y) = (-9.35384, -0.799437)
72: (x,y) = (-8.62248, -0.117439)
73: (x,y) = (-9.21027, -0.926456)
74: (x,y) = (-9.3148, 0.0680661)
75: (x,y) = (-8.33665, -0.139846)
76: (x,y) = (-9.12466, 0.475816)
77: (x,y) = (-8.68629, 1.37461)
78: (x,y) = (-7.77275, 0.967873)
79: (x,y) = (-6.77275, 0.967873)
